Date,Symbol,Name,Open
2020-01-06 00:00:00-05:00,XOM,Exxon Mobil Corporation,58.555716687709506
2020-01-06 00:00:00-05:00,CVX,Chevron Corporation,104.31140978667769
2020-01-06 00:00:00-05:00,SHEL,Shell plc,53.844425201416016
2020-01-06 00:00:00-05:00,TTE,TotalEnergies SE,45.031609950612996
2020-01-06 00:00:00-05:00,COP,ConocoPhillips,58.06815673597109
2020-03-03 00:00:00-05:00,XOM,Exxon Mobil Corporation,45.56931256820767
2020-03-03 00:00:00-05:00,CVX,Chevron Corporation,84.24865660653158
2020-03-03 00:00:00-05:00,SHEL,Shell plc,40.991506473670015
2020-03-03 00:00:00-05:00,TTE,TotalEnergies SE,35.13306671027636
2020-03-03 00:00:00-05:00,COP,ConocoPhillips,43.70055441963989
2020-05-04 00:00:00-04:00,XOM,Exxon Mobil Corporation,35.90642173503306
2020-05-04 00:00:00-04:00,CVX,Chevron Corporation,77.25912777647915
2020-05-04 00:00:00-04:00,SHEL,Shell plc,28.697654338210747
2020-05-04 00:00:00-04:00,TTE,TotalEnergies SE,26.93641967577516
2020-05-04 00:00:00-04:00,COP,ConocoPhillips,34.074613177723016
2020-07-02 00:00:00-04:00,XOM,Exxon Mobil Corporation,38.41940154020607
2020-07-02 00:00:00-04:00,CVX,Chevron Corporation,78.93211347785392
2020-07-02 00:00:00-04:00,SHEL,Shell plc,30.223325070360126
2020-07-02 00:00:00-04:00,TTE,TotalEnergies SE,32.30768000280016
2020-07-02 00:00:00-04:00,COP,ConocoPhillips,37.26696153797995
2020-09-02 00:00:00-04:00,XOM,Exxon Mobil Corporation,34.44480873228305
2020-09-02 00:00:00-04:00,CVX,Chevron Corporation,74.41666568500337
2020-09-02 00:00:00-04:00,SHEL,Shell plc,26.80404424424313
2020-09-02 00:00:00-04:00,TTE,TotalEnergies SE,32.66334200371597
2020-09-02 00:00:00-04:00,COP,ConocoPhillips,33.30809656363734
2020-11-03 00:00:00-05:00,XOM,Exxon Mobil Corporation,30.282990102370988
2020-11-03 00:00:00-05:00,CVX,Chevron Corporation,65.54688892358772
2020-11-03 00:00:00-05:00,SHEL,Shell plc,25.0054855437246
2020-11-03 00:00:00-05:00,TTE,TotalEnergies SE,27.473021068783552
2020-11-03 00:00:00-05:00,COP,ConocoPhillips,27.99477222635171
2021-01-05 00:00:00-05:00,XOM,Exxon Mobil Corporation,37.622763002296345
2021-01-05 00:00:00-05:00,CVX,Chevron Corporation,77.72082153792043
2021-01-05 00:00:00-05:00,SHEL,Shell plc,34.49266445490554
2021-01-05 00:00:00-05:00,TTE,TotalEnergies SE,36.979160272817886
2021-01-05 00:00:00-05:00,COP,ConocoPhillips,36.67023259682949
2021-03-02 00:00:00-05:00,XOM,Exxon Mobil Corporation,51.8050789704163
2021-03-02 00:00:00-05:00,CVX,Chevron Corporation,93.93979636460173
2021-03-02 00:00:00-05:00,SHEL,Shell plc,38.48138829859693
2021-03-02 00:00:00-05:00,TTE,TotalEnergies SE,40.358928618026106
2021-03-02 00:00:00-05:00,COP,ConocoPhillips,48.29121364398856
2021-05-04 00:00:00-04:00,XOM,Exxon Mobil Corporation,53.954092737168125
